ingreso_mensual,historial_crediticio,monto_prestamo,edad,empleo_estable,ratio_deuda_ingreso,capacidad_pago,score_riesgo_edad,moroso
4091.02,502,19268.58,19,0,0.3925,3127.59,1,0
1025.0,785,43640.12,20,1,3.548,-1157.01,1,0
2888.03,483,27779.68,31,1,0.8016,1499.05,0,1
3108.68,526,4931.05,29,1,0.1322,2862.13,0,0
8111.61,428,24000.31,51,1,0.2466,6911.6,0,1
4666.93,715,8863.77,50,1,0.1583,4223.74,0,0
4079.63,685,31207.91,32,1,0.6375,2519.24,0,0
1025.0,316,9130.17,53,0,0.7423,568.49,0,1
5174.1,306,41688.47,19,0,0.6714,3089.67,1,1
3744.52,385,18826.78,22,1,0.419,2803.18,1,1
2872.0,519,4800.76,36,0,0.1393,2631.96,0,0
2693.72,727,7704.59,43,1,0.2384,2308.49,0,0
3295.38,486,34721.84,42,1,0.878,1559.29,0,1
4773.13,382,13973.78,26,1,0.244,4074.44,0,1
4881.74,789,18805.68,45,1,0.321,3941.45,0,0
1025.0,445,16275.64,64,0,1.3232,211.22,0,1
4112.42,446,39207.24,62,1,0.7945,2152.05,0,1
2422.32,338,43890.42,33,0,1.5099,227.8,0,1
2949.18,538,43509.32,23,0,1.2294,773.71,1,1
4279.0,819,15499.43,22,1,0.3019,3504.03,1,0
3236.57,742,24824.15,63,0,0.6392,1995.36,0,1
3634.83,661,13051.18,65,1,0.2992,2982.27,0,0
1025.0,660,25435.46,62,1,2.0679,-246.77,0,0
1025.0,545,25245.54,59,0,2.0525,-237.28,0,1
3586.42,574,12934.35,67,0,0.3005,2939.71,1,0
2633.51,346,10962.5,55,1,0.3469,2085.38,0,1
3606.51,357,6954.63,71,1,0.1607,3258.78,1,1
5031.53,593,31015.18,64,0,0.5137,3480.77,0,1
4079.49,776,12896.57,65,1,0.2634,3434.66,0,0
6270.39,366,24111.18,58,0,0.3204,5064.83,0,1
4255.0,778,16748.79,69,1,0.328,3417.56,1,0
3366.68,666,22509.39,18,1,0.5572,2241.21,1,0
4531.25,681,10765.43,48,1,0.198,3992.98,0,0
4221.04,821,4580.65,67,1,0.0904,3992.0,1,0
2600.22,559,35758.41,49,1,1.146,812.3,0,0
4595.15,764,37763.08,51,0,0.6848,2707.0,0,1
4849.8,423,34286.8,21,1,0.5891,3135.46,1,1
3673.08,715,38585.18,24,1,0.8754,1743.82,1,0
2851.69,474,18278.94,24,1,0.5342,1937.75,1,1
2397.69,416,8477.73,62,1,0.2946,1973.8,0,1
3221.31,672,24348.5,59,1,0.6299,2003.88,0,0
4963.79,815,38996.65,56,1,0.6547,3013.96,0,0
6084.26,432,25324.28,48,1,0.3469,4818.04,0,1
4182.27,403,18784.76,19,1,0.3743,3243.04,1,1
6870.93,483,44539.05,54,1,0.5402,4643.97,0,1
2976.6,775,24238.49,61,1,0.6786,1764.67,0,0
4322.68,756,38244.25,67,1,0.7373,2410.47,1,0
1141.56,523,31605.87,33,1,2.3072,-438.73,0,0
6633.06,318,40294.67,33,0,0.5062,4618.32,0,1
2131.49,726,32305.86,57,1,1.263,516.19,0,0
5893.62,466,6901.31,43,1,0.0976,5548.55,0,1
2555.84,701,38820.78,38,0,1.2658,614.81,0,1
2045.07,333,10861.36,41,1,0.4426,1502.0,0,1
5338.59,669,36713.76,33,1,0.5731,3502.9,0,0
4958.75,325,16589.34,27,1,0.2788,4129.28,0,1
4275.26,303,16270.98,39,1,0.3172,3461.71,0,1
3346.48,474,13779.28,68,0,0.3431,2657.51,1,1
3537.25,663,19274.42,69,1,0.4541,2573.53,1,0
4356.24,502,26324.63,20,1,0.5036,3040.0,1,0
1025.0,750,22853.09,51,0,1.858,-117.65,0,1
3185.5,506,41938.8,51,1,1.0971,1088.56,0,0
3124.51,822,31916.87,55,1,0.8513,1528.66,0,0
3849.08,630,39275.01,66,0,0.8503,1885.33,1,1
1644.37,369,40298.76,32,0,2.0423,-370.57,0,1
4098.9,485,5142.82,34,1,0.1046,3841.76,0,1
3665.74,377,38155.18,61,0,0.8674,1757.98,0,1
4419.27,655,6119.62,50,0,0.1154,4113.29,0,0
4735.21,484,42831.53,59,0,0.7538,2593.63,0,1
2449.0,564,18787.81,58,1,0.6393,1509.61,0,0
1682.22,314,18179.53,42,0,0.9006,773.24,0,1
2528.41,764,7559.77,40,1,0.2492,2150.42,0,0
4862.03,766,7081.88,35,1,0.1214,4507.94,0,0
4681.91,816,37029.81,52,1,0.6591,2830.42,0,0
3855.82,680,35827.1,58,1,0.7743,2064.46,0,0
5319.8,610,6979.83,62,0,0.1093,4970.8,0,0
7155.32,524,18102.55,54,0,0.2108,6250.19,0,0
4954.7,732,14993.97,23,1,0.2522,4205.0,1,0
4554.41,790,34868.68,58,0,0.638,2810.97,0,1
5329.04,833,20687.5,45,1,0.3235,4294.67,0,0
1263.29,303,39585.81,40,0,2.6113,-716.01,0,1
2432.93,695,39107.89,52,1,1.3395,477.54,0,0
4241.48,710,38374.87,29,1,0.754,2322.73,0,0
4518.89,817,31148.6,22,1,0.5744,2961.46,1,0
4859.2,369,29256.65,61,1,0.5017,3396.37,0,1
4429.28,544,9390.62,40,1,0.1767,3959.75,0,0
3187.6,476,43596.98,22,1,1.1398,1007.75,1,1
1803.54,508,38954.12,43,0,1.7999,-144.17,0,1
6115.31,543,44930.65,46,1,0.6123,3868.78,0,0
2767.41,371,41703.73,19,0,1.2558,682.23,1,1
3663.57,336,22556.11,55,0,0.5131,2535.76,0,1
6185.45,535,33759.85,70,1,0.4548,4497.45,1,0
4483.88,660,16277.76,32,1,0.3025,3669.99,0,0
6155.31,356,11603.51,20,1,0.1571,5575.13,1,1
2444.19,695,5180.43,30,0,0.1766,2185.17,0,0
6472.3,767,8531.0,34,1,0.1098,6045.75,0,0
1997.09,525,12544.23,62,1,0.5234,1369.87,0,0
2432.75,522,35718.88,28,1,1.2235,646.81,0,0
2254.48,710,5644.7,23,0,0.2086,1972.25,1,0
4802.68,755,31552.85,18,0,0.5475,3225.03,1,1
4727.12,453,42226.22,58,1,0.7444,2615.81,0,1
6953.61,695,11827.82,55,1,0.1417,6362.22,0,0
3884.3,620,44471.89,43,1,0.9541,1660.7,0,0
2331.58,762,6187.97,32,1,0.2212,2022.18,0,0
2907.86,379,16780.45,28,1,0.4809,2068.84,0,1
4276.35,367,31577.17,61,0,0.6153,2697.49,0,1
2748.33,616,7863.24,45,0,0.2384,2355.17,0,0
4017.46,342,31132.77,64,0,0.6458,2460.82,0,1
1641.87,342,41773.46,32,0,2.1202,-446.81,0,1
2694.98,627,40497.89,53,0,1.2523,670.09,0,1
2939.23,793,6690.44,55,1,0.1897,2604.71,0,0
3989.91,585,4957.87,69,1,0.1036,3742.02,1,0
1723.1,762,13791.32,32,1,0.667,1033.53,0,0
1918.86,773,12659.95,20,1,0.5498,1285.86,1,0
4469.3,769,9411.68,25,1,0.1755,3998.71,0,0
3012.3,680,17606.53,52,1,0.4871,2131.97,0,0
3484.08,364,7569.14,30,1,0.181,3105.62,0,1
4839.77,387,20703.81,70,1,0.3565,3804.58,1,1
3832.52,311,13169.2,51,1,0.2863,3174.06,0,1
3255.04,795,16365.14,51,0,0.419,2436.78,0,0
6283.71,739,30045.44,21,1,0.3985,4781.44,1,0
1605.89,834,22514.49,39,1,1.1683,480.17,0,0
3551.48,492,28922.49,40,1,0.6786,2105.36,0,1
2481.38,422,26421.88,21,1,0.8873,1160.29,1,1
1882.55,525,16893.91,31,1,0.7478,1037.85,0,0
1025.0,375,5572.55,60,0,0.4531,746.37,0,1
4221.7,578,15974.96,33,0,0.3153,3422.96,0,0
3871.19,407,40670.65,47,0,0.8755,1837.66,0,1
1637.04,420,21626.92,31,1,1.1009,555.7,0,1
7835.39,720,22462.91,23,0,0.2389,6712.24,1,0
4920.31,329,25328.89,56,1,0.429,3653.87,0,1
1300.11,427,19823.71,23,1,1.2706,308.93,1,1
3381.97,428,22871.4,29,1,0.5636,2238.4,0,1
3303.31,365,17126.54,67,1,0.4321,2446.99,1,1
3410.25,475,31387.27,38,1,0.767,1840.89,0,1
2095.1,489,43427.1,50,1,1.7273,-76.26,0,1
3490.87,530,9330.92,67,1,0.2227,3024.33,1,0
4339.65,325,8685.16,61,0,0.1668,3905.39,0,1
4073.18,638,12039.75,58,0,0.2463,3471.19,0,0
3620.45,498,30723.16,65,1,0.7072,2084.29,0,1
7144.85,461,27097.16,33,0,0.316,5789.99,0,1
5012.7,798,32744.04,65,0,0.5444,3375.5,0,1
2747.31,601,43585.87,57,0,1.3221,568.02,0,1
5917.88,582,19434.43,28,1,0.2737,4946.15,0,0
1632.68,730,13594.71,66,1,0.6939,952.95,1,0
4372.76,655,43725.3,60,0,0.8333,2186.49,0,1
1073.46,708,23974.51,38,1,1.8612,-125.26,0,0
3394.57,478,34217.37,44,0,0.84,1683.7,0,1
7972.21,345,36588.92,59,0,0.3825,6142.76,0,1
5906.91,530,14541.79,65,0,0.2052,5179.82,0,0
2880.33,468,23649.57,62,1,0.6842,1697.85,0,1
2748.13,638,34313.05,36,0,1.0405,1032.48,0,1
3582.4,465,26423.68,46,0,0.6147,2261.21,0,1
3932.74,570,5379.62,32,1,0.114,3663.76,0,0
4037.23,806,39426.52,42,1,0.8138,2065.9,0,0
4526.77,778,26916.98,61,1,0.4955,3180.92,0,0
2221.09,377,39065.72,22,1,1.4657,267.81,1,1
4076.1,673,36677.36,70,1,0.7498,2242.24,1,0
4740.4,322,24641.95,27,1,0.4332,3508.3,0,1
2267.56,494,29951.88,35,0,1.1007,769.96,0,1
1826.68,303,35227.87,22,1,1.6071,65.28,1,1
4855.85,743,26461.75,23,1,0.4541,3532.76,1,0
4911.72,588,28690.36,20,1,0.4868,3477.2,1,0
3505.53,650,38027.22,49,1,0.904,1604.16,0,0
5304.47,611,36191.81,71,1,0.5686,3494.88,1,0
3798.49,318,8122.32,66,0,0.1782,3392.38,1,1
3084.07,817,41590.98,40,0,1.1238,1004.52,0,1
4968.66,594,29888.59,22,1,0.5013,3474.23,1,0
2184.38,668,28908.85,43,1,1.1029,738.94,0,0
3188.25,799,28724.84,48,1,0.7508,1752.01,0,0
3844.62,513,7622.59,45,1,0.1652,3463.49,0,0
3611.19,542,10873.42,70,1,0.2509,3067.52,1,0
2719.02,571,22728.47,61,1,0.6966,1582.6,0,0
4834.49,365,10903.72,65,1,0.188,4289.3,0,1
5872.4,451,20717.34,24,0,0.294,4836.53,1,1
2324.9,519,39244.53,37,0,1.4067,362.67,0,1
7422.7,770,23269.57,53,1,0.2612,6259.22,0,0
5662.93,314,7196.26,50,1,0.1059,5303.12,0,1
2012.53,834,38913.54,45,0,1.6113,66.86,0,1
5368.9,311,44809.52,48,1,0.6955,3128.42,0,1
3548.43,330,13951.61,33,1,0.3276,2850.85,0,1
2648.04,496,34541.77,53,1,1.087,920.96,0,1
2306.34,540,14352.87,65,1,0.5186,1588.69,0,0
4594.13,642,39808.64,47,1,0.7221,2603.7,0,0
3198.36,673,44361.37,23,0,1.1558,980.29,1,1
4344.12,631,24220.12,30,1,0.4646,3133.11,0,0
3219.92,306,27045.96,67,1,0.7,1867.62,1,1
4038.34,790,21031.67,55,1,0.434,2986.76,0,0
2448.85,724,28407.69,20,1,0.9667,1028.47,1,0
5696.77,656,32751.87,48,1,0.4791,4059.18,0,0
2652.37,669,25472.04,25,0,0.8003,1378.77,0,1
2577.4,716,5271.32,45,1,0.1704,2313.83,0,0
5753.63,716,19703.17,64,1,0.2854,4768.47,0,0
2034.65,400,31047.02,57,1,1.2716,482.3,0,1
3752.36,809,16559.06,40,0,0.3677,2924.41,0,0
5514.28,325,42801.96,32,1,0.6468,3374.19,0,1
6692.77,782,15485.43,54,1,0.1928,5918.5,0,0
4294.33,324,14654.37,68,1,0.2844,3561.62,1,1
6500.58,734,5123.5,67,1,0.0657,6244.41,1,0
1688.1,761,14948.43,46,1,0.7379,940.68,0,0
4723.19,436,7168.52,26,1,0.1265,4364.77,0,1
3397.97,328,28102.91,37,1,0.6892,1992.82,0,1
4672.37,773,6462.49,60,1,0.1153,4349.25,0,0
4771.07,341,4117.28,57,1,0.0719,4565.21,0,1
4729.42,319,33395.34,21,0,0.5884,3059.65,1,1
3372.97,368,16466.19,25,1,0.4068,2549.66,0,1
3719.03,612,34811.83,52,1,0.78,1978.44,0,0
5104.41,809,35160.13,18,0,0.574,3346.4,1,1
5951.76,720,36117.1,41,0,0.5057,4145.91,0,1
2918.02,842,9085.78,62,1,0.2595,2463.73,0,0
3410.23,341,32540.07,69,1,0.7952,1783.23,1,1
6188.93,480,34127.61,46,0,0.4595,4482.55,0,1
3605.46,456,40604.39,50,1,0.9385,1575.24,0,1
4875.78,830,15266.67,38,1,0.2609,4112.44,0,0
2897.29,307,32981.99,29,0,0.9486,1248.19,0,1
4333.02,409,25764.84,49,1,0.4955,3044.78,0,1
3653.08,822,42589.65,55,0,0.9715,1523.6,0,1
3636.42,778,15071.63,65,1,0.3454,2882.84,0,0
4161.45,704,28848.5,48,0,0.5777,2719.03,0,1
4304.67,640,40705.64,44,1,0.788,2269.39,0,0
5278.05,637,34602.96,39,1,0.5463,3547.9,0,0
5636.53,637,39489.81,57,1,0.5838,3662.04,0,0
3967.13,502,38695.97,51,1,0.8128,2032.33,0,0
3832.97,553,36139.12,49,1,0.7857,2026.02,0,0
4871.22,710,6002.4,46,1,0.1027,4571.1,0,0
4811.67,816,41094.22,68,1,0.7117,2756.96,1,0
1511.96,827,37330.17,51,1,2.0575,-354.55,0,0
4501.18,321,21740.39,70,1,0.4025,3414.16,1,1
2942.67,524,40789.03,70,0,1.1551,903.22,1,1
4320.68,453,39770.44,68,1,0.7671,2332.16,1,1
4174.9,792,9295.71,45,1,0.1855,3710.12,0,0
1025.0,834,39968.8,40,1,3.2495,-973.44,0,0
3355.82,696,40383.87,71,0,1.0028,1336.62,1,1
3491.03,815,6921.77,67,1,0.1652,3144.94,1,0
2775.14,409,32729.94,27,1,0.9828,1138.65,0,1
5103.16,374,40132.97,20,1,0.6554,3096.52,1,1
3956.14,814,28056.6,34,0,0.591,2553.31,0,1
4234.63,356,24217.87,32,0,0.4766,3023.73,0,1
3887.58,824,13045.92,66,0,0.2796,3235.29,1,0
1575.2,566,43690.43,40,1,2.3114,-609.32,0,0
4691.48,652,10108.89,26,1,0.1796,4186.03,0,0
4279.06,396,27058.58,50,0,0.527,2926.13,0,1
7067.11,829,7287.45,32,1,0.0859,6702.74,0,0
4090.37,593,14941.0,64,0,0.3044,3343.32,0,0
3347.27,651,20392.15,24,1,0.5077,2327.67,1,0
3250.76,441,18820.36,62,1,0.4825,2309.74,0,1
4496.01,322,4128.86,51,0,0.0765,4289.57,0,1
3353.57,790,11955.41,21,1,0.2971,2755.8,1,0
1945.82,544,41051.62,29,0,1.7581,-106.76,0,1
4224.36,667,29589.98,64,1,0.5837,2744.86,0,0
4237.52,569,44425.54,23,1,0.8737,2016.24,1,0
1306.82,759,18170.78,41,1,1.1587,398.28,0,0
2109.7,759,20928.02,38,1,0.8267,1063.3,0,0
3319.52,623,34427.95,31,1,0.8643,1598.12,0,0
3282.25,604,43645.47,32,0,1.1081,1099.97,0,1
3793.38,693,27244.48,65,0,0.5985,2431.15,0,1
5212.68,477,6363.61,44,1,0.1017,4894.5,0,1
2458.55,507,43779.85,54,1,1.4839,269.56,0,0
3676.79,382,19535.93,51,0,0.4428,2699.99,0,1
2385.29,571,34743.35,22,1,1.2138,648.12,1,0
3752.28,803,39429.72,63,1,0.8757,1780.79,0,0
5859.9,446,7756.06,20,1,0.1103,5472.1,1,1
5724.61,342,19804.57,43,1,0.2883,4734.38,0,1
3934.7,302,36532.76,33,0,0.7737,2108.06,0,1
1800.88,840,20482.0,28,1,0.9478,776.78,0,0
2953.39,704,19456.15,22,0,0.549,1980.58,1,1
4528.2,662,15460.32,29,0,0.2845,3755.19,0,0
4279.91,593,7726.33,47,1,0.1504,3893.59,0,0
4928.39,589,23617.56,31,1,0.3993,3747.51,0,0
4921.11,394,20062.97,65,1,0.3397,3917.96,0,1
5698.61,812,41137.88,56,0,0.6016,3641.72,0,1
4716.65,843,36832.69,24,1,0.6508,2875.02,1,0
4299.71,313,22046.28,25,1,0.4273,3197.4,0,1
3775.77,712,27626.61,57,1,0.6097,2394.44,0,0
2407.41,310,7014.32,34,1,0.2428,2056.7,0,1
5559.78,707,9052.72,53,1,0.1357,5107.14,0,0
5007.88,532,24547.08,64,1,0.4085,3780.52,0,0
5583.94,308,9448.15,70,0,0.141,5111.53,1,1
4607.48,525,44886.36,43,1,0.8118,2363.16,0,0
2018.03,516,21610.12,29,0,0.8924,937.52,0,1
3302.92,413,42801.01,43,1,1.0799,1162.87,0,1
2249.68,634,17698.53,25,0,0.6556,1364.76,0,1
3725.89,376,21354.96,63,1,0.4776,2658.14,0,1
3876.9,328,39209.89,46,0,0.8428,1916.41,0,1
6661.24,762,11183.66,52,1,0.1399,6102.06,0,0
1858.89,356,20688.06,36,0,0.9274,824.49,0,1
5269.92,393,9028.65,48,1,0.1428,4818.48,0,1
4817.86,734,22232.85,30,1,0.3846,3706.22,0,0
3640.03,837,23755.71,18,1,0.5439,2452.25,1,0
5521.7,512,17733.41,45,1,0.2676,4635.03,0,0
3133.93,652,25934.54,42,1,0.6896,1837.21,0,0
3555.64,720,16520.29,32,1,0.3872,2729.62,0,0
6353.72,669,36443.14,58,1,0.478,4531.57,0,0
4068.91,566,12841.99,37,0,0.263,3426.81,0,0
2653.9,361,26516.64,66,0,0.8326,1328.07,1,1
2804.13,843,43979.55,51,0,1.307,605.15,0,1
5947.97,746,10564.62,26,1,0.148,5419.74,0,0
6169.36,581,32999.83,42,0,0.4457,4519.37,0,0
3367.28,348,16728.4,26,1,0.414,2530.86,0,1
4543.9,659,13644.14,55,1,0.2502,3861.69,0,0
4787.07,808,39862.22,45,1,0.6939,2793.96,0,0
5177.54,567,8551.62,63,0,0.1376,4749.96,0,0
6568.6,835,43098.83,65,1,0.5468,4413.66,0,0
3844.8,807,4493.42,51,1,0.0974,3620.13,0,0
3612.52,717,7196.36,29,0,0.166,3252.7,0,0
3998.59,634,11085.96,51,1,0.231,3444.29,0,0
3260.74,847,24155.61,56,1,0.6173,2052.96,0,0
4822.07,540,10327.2,33,1,0.1785,4305.71,0,0
3579.51,327,22348.02,62,1,0.5203,2462.11,0,1
3852.28,827,13563.24,26,1,0.2934,3174.12,0,0
5403.97,494,14348.1,62,1,0.2213,4686.56,0,1
2671.6,693,26936.37,48,0,0.8402,1324.78,0,1
2790.99,510,4057.33,54,1,0.1211,2588.13,0,0
3631.48,519,15772.4,48,1,0.3619,2842.86,0,0
2142.53,814,33057.94,46,1,1.2858,489.63,0,0
2309.19,773,35853.38,46,1,1.2939,516.52,0,0
4990.77,806,6233.44,61,1,0.1041,4679.1,0,0
6778.42,636,9979.42,42,1,0.1227,6279.45,0,0
6293.56,465,10599.42,51,1,0.1403,5763.58,0,1
1682.35,392,27325.54,68,0,1.3535,316.07,1,1
2217.72,335,11515.57,51,1,0.4327,1641.94,0,1
6310.78,433,43331.22,35,1,0.5722,4144.22,0,1
3821.8,355,39316.19,22,1,0.8573,1855.99,1,1
5364.18,684,27799.07,34,1,0.4319,3974.22,0,0
2222.44,774,12901.12,38,1,0.4837,1577.38,0,0
4274.55,384,6962.63,37,1,0.1357,3926.41,0,1
1873.92,485,14162.14,62,0,0.6298,1165.81,0,1
3803.75,773,34046.8,33,1,0.7459,2101.41,0,0
6391.71,432,40570.08,51,0,0.5289,4363.21,0,1
4253.26,514,22041.51,38,0,0.4319,3151.19,0,0
2400.88,369,24654.31,67,1,0.8557,1168.16,1,1
4162.63,397,34617.68,46,1,0.693,2431.74,0,1
5583.15,635,27506.2,35,0,0.4106,4207.84,0,0
1025.0,722,28549.83,44,1,2.3211,-402.49,0,0
1025.0,595,8117.1,27,0,0.6599,619.15,0,1
6174.61,710,32952.72,27,1,0.4447,4526.97,0,0
3322.77,631,40829.7,40,1,1.024,1281.28,0,0
1025.0,313,8217.93,56,0,0.6681,614.1,0,1
2634.63,397,23177.73,60,0,0.7331,1475.75,0,1
6680.65,848,39954.6,59,0,0.4984,4682.92,0,0
2399.35,389,34544.09,69,0,1.1998,672.14,1,1
2216.03,569,38579.78,65,1,1.4508,287.04,0,0
3881.79,307,36944.08,34,0,0.7931,2034.59,0,1
4984.71,450,30754.82,54,1,0.5142,3446.96,0,1
5484.28,599,14086.51,46,0,0.214,4779.96,0,0
4003.99,354,5034.23,30,0,0.1048,3752.28,0,1
2113.2,543,33718.87,69,0,1.3297,427.25,1,1
5621.01,549,43922.13,33,1,0.6512,3424.9,0,0
3495.21,521,22500.93,64,0,0.5365,2370.16,0,1
5288.95,365,40531.57,42,1,0.6386,3262.37,0,1
4156.15,668,32249.56,60,1,0.6466,2543.67,0,0
3253.25,419,8897.78,55,1,0.2279,2808.36,0,1
4954.93,740,33252.34,45,1,0.5592,3292.31,0,0
4066.04,428,13795.37,49,1,0.2827,3376.27,0,1
5865.45,595,7662.71,56,0,0.1089,5482.31,0,0
1432.99,821,16540.85,41,0,0.9619,605.95,0,1
2062.69,336,8831.16,33,1,0.3568,1621.14,0,1
8265.27,439,25608.79,60,1,0.2582,6984.83,0,1
4930.85,711,24844.82,45,1,0.4199,3688.61,0,0
1414.41,658,43815.82,69,0,2.5815,-776.38,1,1
3766.43,758,6138.4,47,0,0.1358,3459.51,0,0
4133.34,595,22815.13,38,1,0.46,2992.58,0,0
3013.76,498,44130.57,44,1,1.2203,807.23,0,1
3996.1,799,15366.2,68,0,0.3204,3227.79,1,0
3370.84,562,27509.34,25,1,0.6801,1995.37,0,0
1025.0,733,16601.79,33,0,1.3497,194.91,0,1
3687.21,443,35603.25,51,0,0.8047,1907.05,0,1
3372.26,799,6073.2,34,1,0.1501,3068.6,0,0
1537.34,358,35412.11,27,1,1.9196,-233.27,0,1
1464.01,447,29523.17,45,0,1.6805,-12.15,0,1
2490.89,733,20681.32,24,1,0.6919,1456.83,1,0
4905.1,820,27783.82,68,0,0.472,3515.91,1,0
4793.1,796,6633.66,39,1,0.1153,4461.42,0,0
2646.73,390,37252.78,22,1,1.1729,784.09,1,1
4486.8,535,29715.5,42,1,0.5519,3001.02,0,0
3478.48,574,13288.95,28,1,0.3184,2814.03,0,0
3126.85,716,6368.48,66,1,0.1697,2808.43,1,0
3410.85,641,21563.52,36,1,0.5268,2332.67,0,0
2122.51,774,8013.24,35,1,0.3146,1721.85,0,0
5072.67,845,9304.27,26,1,0.1528,4607.45,0,0
3305.86,592,22803.16,35,1,0.5748,2165.7,0,0
3804.43,342,26817.03,37,0,0.5874,2463.58,0,1
6134.61,342,34372.24,62,0,0.4669,4416.0,0,1
3487.77,357,14542.58,34,1,0.3475,2760.64,0,1
2834.15,314,27808.35,44,1,0.8177,1443.73,0,1
5038.73,408,8170.41,27,0,0.1351,4630.21,0,1
6528.52,670,20438.67,65,0,0.2609,5506.58,0,0
3033.18,512,29787.76,35,1,0.8184,1543.8,0,0
3667.91,729,21369.29,55,1,0.4855,2599.44,0,0
4063.61,671,31425.41,61,1,0.6444,2492.34,0,0
3378.17,343,5297.8,60,0,0.1307,3113.28,0,1
1720.53,627,6030.45,59,0,0.2921,1419.0,0,0
3344.4,565,16614.35,37,1,0.414,2513.69,0,0
1025.0,380,22774.91,28,1,1.8516,-113.75,0,1
4348.61,660,42391.7,71,0,0.8124,2229.03,1,1
4650.86,584,14913.66,40,0,0.2672,3905.18,0,0
3025.63,780,31231.88,49,1,0.8602,1464.04,0,0
2604.57,554,16508.89,51,0,0.5282,1779.12,0,1
3389.24,442,7179.81,25,1,0.1765,3030.25,0,1
4736.46,424,11328.6,24,1,0.1993,4170.03,1,1
7110.52,828,38009.23,43,1,0.4455,5210.06,0,0
4332.34,735,4482.0,38,0,0.0862,4108.24,0,0
1591.54,752,27177.23,65,1,1.423,232.68,0,0
2937.8,397,43777.53,60,1,1.2418,748.92,0,1
3649.23,328,10516.74,57,1,0.2402,3123.4,0,1
2652.75,371,11725.98,30,1,0.3684,2066.45,0,1
3082.58,602,27116.43,46,1,0.7331,1726.76,0,0
2231.71,501,38058.76,70,0,1.4211,328.77,1,1
4931.19,309,33452.1,60,1,0.5653,3258.58,0,1
1175.35,571,42416.03,40,1,3.0073,-945.45,0,0
4781.11,758,10274.44,51,1,0.1791,4267.39,0,0
1592.32,666,21298.71,66,0,1.1147,527.39,1,1
2604.51,612,6032.67,48,1,0.193,2302.88,0,0
2155.28,579,13375.04,40,1,0.5171,1486.53,0,0
5681.0,585,31559.23,33,0,0.4629,4103.04,0,0
5080.4,741,39364.23,34,1,0.6457,3112.18,0,0
5729.37,641,24297.53,57,1,0.3534,4514.49,0,0
1519.42,546,12731.66,70,0,0.6983,882.84,1,1
5487.36,646,31472.21,19,1,0.4779,3913.75,1,0
6405.61,639,22974.08,23,0,0.2989,5256.9,1,0
6344.27,623,32745.4,20,1,0.4301,4707.0,1,0
2020.03,367,28429.71,44,1,1.1728,598.54,0,1
2505.97,788,22453.69,62,1,0.7467,1383.29,0,0
5169.83,528,41301.8,18,1,0.6658,3104.74,1,0
4214.84,305,34200.89,52,1,0.6762,2504.8,0,1
1908.59,519,25215.88,37,1,1.101,647.8,0,0
2557.29,352,28574.29,21,1,0.9311,1128.58,1,1
2821.14,331,29104.41,58,1,0.8597,1365.92,0,1
4556.37,431,38813.75,38,1,0.7099,2615.68,0,1
3693.78,780,32122.88,30,1,0.7247,2087.64,0,0
4690.77,343,13757.57,44,1,0.2444,4002.9,0,1
5502.34,351,8359.27,61,1,0.1266,5084.38,0,1
6836.7,307,35453.68,59,1,0.4321,5064.01,0,1
